"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"UNIDAD EDUCATIVA COLEGIO MADRE MATILDE";"";"Tel: (58) (212) 9765811";"Prados Del Este Caracas, Venezuela";"Colegios"
"U.E. ABAJO CADENAS";"";"Tel: (58) (285) 2657656";"Calle frejtes No 59 a 30 mts de Tigasco Ciudad Bolivar, Venezuela";"Colegios"
"COLEGIO LATIOAMERICANO II C.A";"";"Tel: (58) (212) 4720473";"La Paz Caracas, Venezuela";"Colegios"
"MI LINDA VENEZUELA";"";"Tel: (58) (261) 7976040";"Tierra Negra Maracaibo, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO LA EPIFANIA";"";"Tel: (58) (261) 7835713";"El Paraiso Maracaibo, Venezuela";"Colegios"
"INSTITUTO JEAN PIAGET";"";"Tel: (58) (212) 9621211";"Av Principal Urb Los Guayabitos Qta Instituto Jean Piaget, Baruta Caracas, Venezuela";"Colegios"
"COLEGIO CUMBRES DE CARACAS";"";"Tel: (58) (212) 9773533";"Cumbres De Curumo Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA VIRGEN DE LA TRINIDAD";"";"Tel: (58) (241) 8432692";"Cl. Las Colinas Mañongo Valencia, Venezuela";"Colegios"
"INSTITUTO COLEGIO CIUADAD FAJARDO C.A";"";"Tel: (58) (212) 3614769";"Av Francisco R Garcia, Guarenas Guarenas, Venezuela";"Colegios"
"U.E PRIVADA CRUZ SALMERON ACOSTA";"";"Tel: (58) (212) 4331598";"Cl Ud 7, Ruiz Pineda Caracas, Venezuela";"Colegios"
"COLEGIO FE Y ALEGRÍA";"";"Tel: (58) (212) 8705082";"El Junquito Caracas, Venezuela";"Colegios"
"CURSOS EN LÍNEA DE ALBERT EINSTEIN";"";"Tel: (58) (212) 9937172";"Las Mercedes Caracas, Venezuela";"Colegios"
"COLEGIO ARCOIRIS";"";"Tel: (58) (212) 8701423";"Propatria Caracas, Venezuela";"Colegios"
"COLEGIO LUZ DE CARACAS";"";"Tel: (58) (212) 4618691";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ELISA FARIA";"";"Tel: (58) (261) 7483982";"Cl. No. 18 De Octubre Maracaibo, Venezuela";"Colegios"
"LICEO INDEPENDENCIA";"";"Tel: (58) (212) 5418324";"Santa Rosalía Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO EXPERIMENTAL";"";"Tel: (58) (281) 2688745";"Cl Guaraguao Puerto de  la Cruz, Venezuela";"Colegios"
"UNIDAD EDUCATIVA P MANUEL FOMBONA PALACIOS";"";"Tel: (58) (212) 5755063";"La Candelaria Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA JOHANNES KEPLER";"";"Tel: (58) (212) 6328539";"Las Acacias Caracas, Venezuela";"Colegios"
"COLEGIO NUESTRO SAMAN";"";"Tel: (58) (261) 7869860";"Detras de Aptos, El Varillal Andres Eloy Blanco Maracaibo, Venezuela";"Colegios"
"COLEGIO REFUGIO DE LA INFANCIA";"";"Tel: (58) (212) 4729013";"Antímano Caracas, Venezuela";"Colegios"
"COLEGIO DE ENFERMERAS DE CARACAS";"";"Tel: (58) (212) 4513379";"El Paraíso Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA ANTONIO ARRAIZ";"";"Tel: (58) (212) 4818259";"Santa Teresa Caracas, Venezuela";"Colegios"
"COLEGIO PARA NIÑAS SAN JOSÉ";"";"Tel: (58) (212) 3511304";"Atlántida, Maiquetia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO MONSEÑOR CASTRO";"";"Tel: (58) (212) 4818520";"Santa Teresa, Caracas Caracas, Venezuela";"Colegios"
"ALIANZA FRANCESA";"";"Tel: (58) (212) 9921401";"Las Mercedes Caracas, Venezuela";"Colegios"
"U.E. COLEGIO LOS PROCERES";"";"Tel: (58) (241) 8345393";"5ta Transversal, Loc Nro. 7 La Isabelica Valencia, Venezuela";"Colegios"
"U E CODAZZI AGUSTÍN";"";"Tel: (58) (239) 2316255";"Santa Teresa Santa Teresa, Venezuela";"Colegios"
"ORINOQUIA AC";"";"Tel: (58) (212) 9621612";"Baruta Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ARISTIDES ROJAS";"";"Tel: (58) (212) 4722501";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCACIONAL HORIZONTE";"";"Tel: (58) (283) 2532756";"Cl El Sol Laguna Honda El Tigre, Venezuela";"Colegios"
"COLEGIO FRAY LUIS AMIGO";"";"Tel: (58) (212) 7534685";"Cnas De Bello Monte Caracas, Venezuela";"Colegios"
"ESCUELA FE Y ALEGRÍA";"";"Tel: (58) (212) 6828527";"Coche Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA NUESTROS SAGRADOS ANGELES";"";"Tel: (58) (212) 8722744";"Catia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA NACIONAL CONOPOIMA";"";"Tel: (58) (212) 9637267";"El Hatillo Caracas, Venezuela";"Colegios"
"COLEGIO DE NUTRICIONISTAS Y DIETISTAS DE VENEZUELA";"";"Tel: (58) (212) 4428101";"Montalbán Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA ANZOÁTEGUI";"";"Tel: (58) (212) 4622295";"El Paraíso Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA NACIONAL 1ERO DE MAYO";"";"Tel: (58) (212) 6313859";"El Cementerio Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO VENEZUELA";"";"Tel: (58) (212) 4723166";"Antímano Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA SAN LUCAS";"";"Tel: (58) (261) 7350131";"Cl. 21 Cruce Con Av. 14 Edif. 13 - 47 Urb. 21 De Mayo Maracaibo, Venezuela";"Colegios"
"UNIDAD EDUCATIVA JUAN XXIII C.A";"";"Tel: (58) (212) 5322911";"Petare, Filas De Mariche Filas de Mariche, Venezuela";"Colegios"
"UNIDAD EDUCATIVA EL ANGEL";"";"Tel: (58) (295) 2624771";"Av bolivar calle Petronila Mata Pampatar, Venezuela";"Colegios"
"UNIDAD EDUCATIVA BOLÍVAR Y PALACIOS";"";"Tel: (58) (212) 5529729";"San Bernardino Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CARICUAO";"";"Tel: (58) (212) 4341477";"Caricuao Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA JOSEFINA DAVIOT";"";"Tel: (58) (212) 5712943";"La Candelaria Caracas, Venezuela";"Colegios"
"COLEGIO RUFINO BLANCO FOMBONA";"";"Tel: (58) (212) 9420917";"El Placer Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MACIZO GUAYANES";"";"Tel: (58) (212) 4612283";"San Martín, Caracas Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA CIUDAD DE CARACAS";"";"Tel: (58) (212) 8705265";"Catia Caracas, Venezuela";"Colegios"
"HONOR A NUESTRO LIBERTADOR";"";"Tel: (58) (212) 4319380";"La Hacienda Caracas, Venezuela";"Colegios"
"LICEO ANTONIO MUÑOZ TEBAR";"";"Tel: (58) (212) 4427832";"San Martín Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA NORBERTO PRADO";"";"Tel: (58) (212) 3625087";"Trapichito Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA FRANCISCO GONZALEZ GUINAN";"";"Tel: (58) (212) 8581495";"23 De Enero Caracas, Venezuela";"Colegios"
"ASESORÍA MATEMÁTICA";"";"Tel: (58) (212) 5782676";"San Agustín Caracas, Venezuela";"Colegios"
"PREESCOLAR SANTO NIÑO";"";"Tel: (58) (212) 8647951";"Altagracia Caracas, Venezuela";"Colegios"
"COLEGIO SAN IGNACIO DE LOYOLA";"";"Tel: (58) (212) 2631744";"La Castellana Caracas, Venezuela";"Colegios"
"COLEGIO MONTE CARMELO";"";"Tel: (58) (286) 9942113";"Av Paseo Caroni Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"U.E.C. LIBERTAD "CETEL"";"";"Tel: (58) (286) 9512159";"Unare II, Av local 7 Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"UNIDAD EDUCATIVA LEONCIO MARTINEZ";"";"Tel: (58) (281) 2869565";"Colina de Neveri Barcelona, Venezuela";"Colegios"
"COLEGIO MADRE DEL DIVINO PASTOR";"";"Tel: (58) (212) 2420331";"El Marqués Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA PRIVADA MINERVA I";"";"Tel: (58) (212) 9777310";"Cl San Andrés Cruce Con Río De Oro, Qta Belemycar, Polos Del Este Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA DIVINO NIÑO";"";"Telefax: (58) (241) 8333966";"Los Guayos Valencia, Venezuela";"Colegios"
"COLEGIO PARROQUIAL SAN BERNARDINO";"";"Tel: (58) (212) 5520204";"San Bernardino Caracas, Venezuela";"Colegios"
"U.E.C.P. CIUDAD BOLIVAR";"";"Tel: (58) (285) 6327309";"Av Andres Bello Ciudad Bolivar, Venezuela";"Colegios"
"INSTITUTO DE ESTUDIOS AMERICANOS";"";"Tel: (58) (212) 6930110";"Los Chaguaramos Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO LERNER";"";"Tel: (58) (212) 2661410";"La Castellana Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA BOLÍVAR Y MARTÍ";"";"Tel: (58) (212) 3732071";"El Limón, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Colegios"
"COLEGIO NUESTRA SEÑORA DE LA ESPERANZA";"";"Tel: (58) (212) 2420035";"El Marqués Caracas, Venezuela";"Colegios"
"INSTITUTO DE EDUCACIÓN ESPECIAL MYRIAM OHED DE VELEZ";"";"Tel: (58) (212) 4628152";"El Paraíso Caracas, Venezuela";"Colegios"
"U.E. COLEGIO LOEFLING";"";"Tel: (58) (286) 9616874";"Cll India urb. Villa Ciudad Guayana Puerto Ordaz, Venezuela";"Colegios"
"LICEO CICLO BÁSICO VENEZUELA";"";"Tel: (58) (212) 4518255";"San Martín Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA LA CIENCIA";"";"Tel: (58) (212) 5778458";"Av La Estrella San Bernardino Caracas, Venezuela";"Colegios"
"COLEGIO INTEGRAL EL AVILA";"";"Tel: (58) (212) 2420811";"Terrazas Del Avila Caracas, Venezuela";"Colegios"
"COLEGIO DE LICENCIADOS EN EDUCACIÓN DE VENEZUELA";"";"Tel: (58) (212) 4510949";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA PARASISTEMA FRANCISCO TAMAYO";"";"Tel: (58) (212) 4337021";"La Candelaria Caracas, Venezuela";"Colegios"
"LICEO JUAN FRANCISCO DE LEÓN";"";"Tel: (58) (212) 6621372";"El Recreo, Cabruta Caracas, Venezuela";"Colegios"
"ESCUELA PRIMARIA DOCTOR JESÚS MARÍA BIANCO";"";"Tel: (58) (212) 6931296";"Santa Mónica Caracas, Venezuela";"Colegios"
"LICEO AVILA";"";"Tel: (58) (212) 5458841";"Esq. Dr Diaz A Peinero, Edif Navarro, El Silencio Caracas, Venezuela";"Colegios"
"INSTITUTO GIBLER SALVADOR PRASEL";"";"Tel: (58) (212) 7627813";"El Recreo Caracas, Venezuela";"Colegios"
"COLEGIO BERTRAND RUSSELL";"";"Tel: (58) (212) 2516086";"Palo Verde Caracas, Venezuela";"Colegios"
"COLEGIO DE ABOGADOS DEL DISTRITO FEDERAL";"";"Tel: (58) (212) 4515517";"El Paraíso Caracas, Venezuela";"Colegios"
"ESCUELA NACIONAL CONCENTRADA 14.35";"";"Tel: (58) (212) 4332884";"Caricuao Caracas, Venezuela";"Colegios"
"ESCUELA NACIONAL LOS NARANJOS";"";"Tel: (58) (212) 4727255";"La Vega Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCACIONAL LOS AZULEJOS";"";"Tel: (58) (212) 4844480";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA TULIPÁN";"";"Tel: (58) (212) 2560459";"Macaracuay Caracas, Venezuela";"Colegios"
"A C U E MAHATMA GANDHI";"";"Tel: (58) (212) 5761691";"La Candelaria Caracas, Venezuela";"Colegios"
"CONSULTORA INTERAMERICANA DE INFORMÁTICA 1020 C.A";"";"Tel: (58) (212) 5424272";"Catedral Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCACIONAL PLAZA SESAMO";"";"Tel: (58) (212) 6626958";"Santa Mónica Caracas, Venezuela";"Colegios"
"COLEGIO LA VIRGEN NIÑA";"";"Tel: (58) (212) 5717302";"Sarria Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA LUISA CACERES DE ARISMENDI";"";"Tel: (58) (212) 6816016";"Coche Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA DE ADULTO MERCEDES MORENO DE MADRID";"";"Tel: (58) (212) 3731875";"Bolívar, S Antonio De Los Altos San Antonio De Los Altos, Venezuela";"Colegios"
"CENTRO PREUNIVERSITARIO GRACIELA GUARDIAS ROJAS";"";"Tel: (58) (212) 4615962";"San Martín Caracas, Venezuela";"Colegios"
"U.E. INSTITUTO AQUILES NAZOA";"";"Tel: (58) (241) 8581327";"Centro Valencia, Venezuela";"Colegios"
"U E COLEGIO IBEROAMÉRICANO";"";"Tel: (58) (212) 4225410";"El Junquito Caracas, Venezuela";"Colegios"
"TEBAR, JESÚS M DR";"";"Tel: (58) (212) 6817528";"Coche Caracas, Venezuela";"Colegios"
"CEDI";"";"Tel: (58) (212) 9453729";"Lomas De La Trinidad Caracas, Venezuela";"Colegios"
"U E P GRABRIELA MISTRAL";"";"Tel: (58) (212) 3526273";"Urb Atlántida, Cl 7 Con Cl 3 Quinta Claret, Maiquetia Caracas, Venezuela";"Colegios"
"ASOCIACION PARA LA FORMACION INTEGRAL DEL NIÑO UNIDAD EDUCATIVA PRIVADA AFIN";"";"Telefax: (58) (244) 4171159";"La Victoria La Victoria, Venezuela";"Colegios"
"INSTITUTO ESCUELA DON SIMÓN RODRÍGUEZ";"";"Tel: (58) (212) 6810736";"Coche Caracas, Venezuela";"Colegios"
"CASA DE LOS NIÑOS EL TURPIAL";"";"Tel: (58) (212) 6818252";"Coche Caracas, Venezuela";"Colegios"
"ESCUELA FEDERAL ESTEBAN GIL BORGES";"";"Tel: (58) (212) 8626892";"La Pastora Caracas, Venezuela";"Colegios"
"LICEO POPULAR SAN FRANCISCO JAVIER";"";"Tel: (58) (212) 8602204";"Lídice Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA SAN ANTONIO DE PADUA";"";"Tel: (58) (212) 4810275";"Cjón Machado El Paraíso Caracas, Venezuela";"Colegios"
"COLEGIO JUAN VICENTE GONZALEZ";"";"Tel: (58) (281) 2762831";"Casco historico Barcelona, Venezuela";"Colegios"
"ASOCIACIÓN CIVIL EDUCARÉ";"";"Tel: (58) (212) 9859814";"Santa Paula Caracas, Venezuela";"Colegios"
"COLEGIO JOSE RAFEL PACHECO";"";"Tel: (58) (212) 9915275";"Av Santa Fe C/C Choroni, Chuao Caracas, Venezuela";"Colegios"
"U E CENTRO DE ORIENTACIÓN PSICOPEDAGOGICA VENEZUELA";"";"Telefax: (58) (212) 2359015";"Av 1era Av Montecristo Caracas, Venezuela";"Colegios"
"U E CENTRO DOCENTE CATOLICO";"";"Tel: (58) (212) 9922938";"Av Río De Janeiro Chuao Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA INSTITUTO PRIVADO LUISA CACERES.";"";"Tel: (58) (283) 2410011";"A dos Cuadras del CC Petrucci El Tigre, Venezuela";"Colegios"
"ESCUELA BÁSICA NACIONAL ESPAÑA";"";"Tel: (58) (212) 8711451";"Catia Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO CRUZ VITALE";"";"Tel: (58) (241) 8571715";"Av. Carabobo Valencia, Venezuela";"Colegios"
"CENTRO DE ADIESTRAMIENTO LABORAL MATEA BOLÍVAR";"";"Tel: (58) (212) 2712872";"La California Norte Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA FEDERICO QUIROZ";"";"Tel: (58) (212) 8703121";"Catia Caracas, Venezuela";"Colegios"
"CENTRO EDUCATIVO APUCY";"";"Tel: (58) (212) 7539513";"Cnas De Bello Monte Caracas, Venezuela";"Colegios"
"COLEGIO SAN ANTONIO DE MACARACUAY";"";"Tel: (58) (212) 2571905";"Macaracuay Caracas, Venezuela";"Colegios"
"ESCUELA PARROQUIAL EL VIVERO";"";"Tel: (58) (212) 8700214";"Catia Caracas, Venezuela";"Colegios"
"PREESCOLAR ASISTENCIAL DR PASTOR OROPEZA";"";"Tel: (58) (212) 5769832";"San Agustín Caracas, Venezuela";"Colegios"
"ESCUELA PARROQUIAL JULIO VELUTINI";"";"Tel: (58) (212) 8627653";"Altagracia Caracas, Venezuela";"Colegios"
"COLEGIO MÉTODO";"";"Tel: (58) (212) 7533013";"Cnas De Bello Monte Caracas, Venezuela";"Colegios"
"COLEGIO SANTO DOMINGO DE GÚZMAN";"";"Tel: (58) (212) 9531763";"El Rosal, Caracas Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCATIVO METROPOLITANO";"";"Tel: (58) (212) 4614769";"El Paraíso Caracas, Venezuela";"Colegios"
"THE BRITISH SCHOOL CARACAS";"";"Tel: (58) (212) 2655870";"Av Luis Roche Con 9na Transv, Altamira Caracas, Venezuela";"Colegios"
"ASOCIACIÓN CIVIL UNIDAD CRISTOBAL ROJAS";"";"Tel: (58) (212) 2124445";"Cl Cujicito, Cua Marin Cua, Venezuela";"Colegios"
"FE Y ALEGRÍA";"";"Tel: (58) (212) 5648642";"Altagracia Caracas, Venezuela";"Colegios"
"COLEGIO KALIL GIBRAN";"";"Tel: (58) (283) 2417078";"Calle Caracas El Tigre, Venezuela";"Colegios"
"LICEO LUIS CORREA";"";"Tel: (58) (212) 3643621";"El Paso, Los Teques Los Teques, Venezuela";"Colegios"
"CENTRO PRE ESCOLAR SIMÓN RODRÍGUEZ";"";"Tel: (58) (212) 7932473";"Simón Rodríguez Caracas, Venezuela";"Colegios"
"CENTRO PRE-UNIVERSITARIO BENJAMIN FRANKLIN";"";"Tel: (58) (212) 9930142";"Las Mercedes Caracas, Venezuela";"Colegios"
"COLEGIO CECILIO ACOSTA";"";"Tel: (58) (212) 6817656";"Coche Caracas, Venezuela";"Colegios"
"UE INSTITUTO PRIVADO LAS AMERICAS";"";"Tel: (58) (271) 2256752";"Cl. 10 Valera, Venezuela";"Colegios"
"COLEGIO JEFFERSON C.A";"";"Tel: (58) (212) 9757212";"Cnas Valle Arriba Caracas, Venezuela";"Colegios"
"CENTRO PRE-ESCOLAR EL MANANTIAL";"";"Tel: (58) (212) 2569655";"El Llanito Caracas, Venezuela";"Colegios"
"COLEGIO NUESTRA SEÑORA DEL CARMEN";"";"Tel: (58) (212) 6900330";"Los Rosales Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA LOS APAMATES, C.A";"";"Tel: (58) (261) 7413506";"Cl. 64 San Benito Maracaibo, Venezuela";"Colegios"
"CENTRO ASISTENCIAL MANDREA";"";"Tel: (58) (212) 5716634";"Sarría Caracas, Venezuela";"Colegios"
"COLEGIO C.I.A.L";"";"Tel: (58) (212) 5520251";"Av Los Próceres, San Bernardino Qta Maremar Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO MICKEY";"";"Tel: (58) (212) 5517289";"San Bernardino, Caracas Caracas, Venezuela";"Colegios"
"COLEGIO DE OFICIALES MARINA MERCANTE";"";"Tel: (58) (212) 8610578";"Altagracia Caracas, Venezuela";"Colegios"
"COLEGIO MARISCAL SUCRE";"";"Tel: (58) (212) 7636457";"Sabana Grande Caracas, Venezuela";"Colegios"
"COLEGIO CRUZ CARRILLO";"";"Tel: (58) (212) 2342191";"El Marqués, Caracas Caracas, Venezuela";"Colegios"
"COLEGIO CANTACLARO";"";"Tel: (58) (251) 2517879";"Av. Lara, A 1 Cuadra Rest. Llanero Barquisimeto, Venezuela";"Colegios"
"COLEGIO CARACAS";"";"Tel: (58) (212) 2427107";"Petare Caracas, Venezuela";"Colegios"
"ESCUELA MUNICIPAL MIGUEL JOSÉ SANZ";"";"Tel: (58) (212) 9453213";"Baruta Caracas, Venezuela";"Colegios"
"GERIATRICA SAN MIGUEL ARCANGEL";"";"Tel: (58) (212) 8716282";"Bello Monte Caracas, Venezuela";"Colegios"
"ESCUELA BÁSICA LAS MINITAS";"";"Tel: (58) (212) 9764457";"Zona Ind La Naya Caracas, Venezuela";"Colegios"
"LICEO CARDENAL QUINTERO";"";"Tel: (58) (212) 2644443";"Av Sn J Bosco, Altamira Caracas, Venezuela";"Colegios"
"UNIDAD EDCATIVA DOCTOR LUIS MARÍA OLASO JUNYENT";"";"Tel: (58) (212) 3631701";"El Calvario, Guarenas Guarenas, Venezuela";"Colegios"
"COLEGIO LA NATIVIDAD";"";"Tel: (58) (212) 4722059";"Vista Alegre Caracas, Venezuela";"Colegios"
"COLEGIO MERICIS HERMANAS URSULINAS";"";"Tel: (58) (212) 9850672";"Cerro Verde Caracas, Venezuela";"Colegios"
"CRISTOBAL COLÓN SINAI";"";"Tel: (58) (212) 7312521";"La Florida Caracas, Venezuela";"Colegios"
"INSTITUTO EINSTEIN";"";"Tel: (58) (212) 2663671";"Chacao, Caracas Caracas, Venezuela";"Colegios"
"JARDÍN DE INFANCIA AMELIA VEGAS";"";"Tel: (58) (212) 8648326";"Altavista Caracas, Venezuela";"Colegios"
"ESCUELA SANTISIMA TRINIDAD";"";"Tel: (58) (212) 8701482";"Lomas De Urdaneta Caracas, Venezuela";"Colegios"
"COLEGIO SANTA CATERINA DE SIERRA";"";"Tel: (58) (212) 6901532";"Santa Mónica Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA PRIVADA BOLÍVAR";"";"Tel: (58) (212) 4836936";"Santa Teresa Caracas, Venezuela";"Colegios"
"COLEGIO CADI U.E.P";"";"Tel: (58) (212) 5718727";"Av Andrés Bello, Guaicapuro Sur Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CONGRESO DE ANGOSTURA";"";"Tel: (58) (239) 2314828";"E Carmen, Santa Teresa Santa Teresa, Venezuela";"Colegios"
"CENTRO PREESCOLAR BOLIVARIANO VIRGINIA VERA";"";"Tel: (58) (212) 2669365";"La Castellana Caracas, Venezuela";"Colegios"
"PRESSILANDIA";"";"Tel: (58) (212) 4627231";"San Juan Caracas, Venezuela";"Colegios"
"ACADEMIA POLITECNICA LA TRINIDAD";"";"Tel: (58) (212) 9444989";"La Trinidad Caracas, Venezuela";"Colegios"
"COLEGIO SANTA ROSALÍA";"";"Tel: (58) (212) 5417908";"Santa Rosalía Caracas, Venezuela";"Colegios"
"ACADEMIA ABCEDUCA";"";"Tel: (58) (212) 2434098";"Terrazas Del Avila Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA JOSÉ ATANASIO GIRARDOT";"";"Tel: (58) (212) 3224983";"C.C El Cabotaje, Antiguo Reg Subalterno, Los Teques Los Teques, Venezuela";"Colegios"
"SEMINARIO PRE NOVICIADO";"";"Tel: (58) (212) 3649884";"Los Teques Los Teques, Venezuela";"Colegios"
"PREESCOLAR LOS CHILINDRINES C.A";"";"Tel: (58) (212) 6938877";"Los Rosales Caracas, Venezuela";"Colegios"
"COLEGIO EL ALBA";"";"Tel: (58) (212) 2836508";"Los Palos Grandes Caracas, Venezuela";"Colegios"
"UE COLEGIO SANTA ROSALÍA";"";"Tel: (58) (212) 3633551";"Páez, Guarenas Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA CARMÉN ELISA GÓMEZ DE MELO";"";"Tel: (58) (212) 6314560";"Los Castaños Caracas, Venezuela";"Colegios"
"INSTITUTO NOCTURNO DE COMERCIO EL VALLE";"";"Tel: (58) (212) 6722202";"El Valle Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA LOS HIPOCAMPITOS CENTRO DE FORMACIÓN INTEGRAL";"";"Tel: (58) (212) 3835715";"Corralito, Carrizal Carrizal, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO LA COLINA";"";"Tel: (58) (212) 3837462";"Colinas De Carrizal Carrizal, Venezuela";"Colegios"
"U E COLEGIO SANTA ELVIRA I C.A";"";"Tel: (58) (212) 6933449";"Santa Mónica Caracas, Venezuela";"Colegios"
"ESCUELA DE OFICIOS EL CEMENTERIO";"";"Tel: (58) (212) 6901189";"Los Rosales Caracas, Venezuela";"Colegios"
"ESCUELA DE ENSEÑANZA ADM SAS";"";"Tel: (58) (212) 8721645";"Propatria Caracas, Venezuela";"Colegios"
"INSTITUTO LIBERTAD";"";"Tel: (58) (212) 4826148";"Altagracia Caracas, Venezuela";"Colegios"
"AC FORAMCIÓN T EL JUNQUITO";"";"Tel: (58) (212) 4223676";"Mariches, El Junquito Caracas, Venezuela";"Colegios"
"COLEGIO SAN FRANCISCO PAZ Y BIEN";"";"Tel: (58) (212) 6828673";"El Valle Caracas, Venezuela";"Colegios"
"COLEGIO VIRGEN DE COROMOTO";"";"Tel: (58) (212) 5515394";"San Bernardino Caracas, Venezuela";"Colegios"
"COLEGIO NUESTRA SEÑORA DE GUADALUPE";"";"Tel: (58) (212) 7614206";"Sabana Grande Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MONSEÑOR DE UNDA C.A";"";"Tel: (58) (212) 3639201";"Los Naranjos, Guarenas Guarenas, Venezuela";"Colegios"
"INSTITUTO PSICOPEDAGOGICO CAMPAÑA ADMIRABLE";"";"Tel: (58) (212) 4616615";"El Paraíso Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MADRE MARIA DE SAN JOSE";"";"Tel: (58) (281) 2686080";"Calle El Taladro El pensil Puerto de  la Cruz, Venezuela";"Colegios"
"UNIDAD EDUCATIVO COLEGIO BILINGUE INSGHT";"";"Tel: (58) (212) 2565003";"Ppal, Macaracuay Caracas, Venezuela";"Colegios"
"PRE-ESCOLAR GABRIELA MISTRAL";"";"Tel: (58) (212) 2727956";"La California Caracas, Venezuela";"Colegios"
"INSTITUTO EDUCACIONAL YVERDON";"";"Tel: (58) (212) 6900686";"Los Rosales Caracas, Venezuela";"Colegios"
"COLEGIO DIVINA PRESENCIA";"";"Tel: (58) (212) 4330647";"Caricuao Caracas, Venezuela";"Colegios"
"INSTITUTO RADIÓFONICO FE Y ALEGRÍA IRÍA";"";"Tel: (58) (212) 6826197";"Coche Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA COLEGIO LAS ACACIAS";"";"Tel: (58) (212) 6328107";"Las Acacias Caracas, Venezuela";"Colegios"
"UNIDAD EDUCATIVA MANUEL GUAL";"";"Telefax: (58) (281) 2816538";"Calle Pirtu Lecherías, Venezuela";"Colegios"
"ESCUELA TECNICA POPULAR MARÍA AUXILIADORA";"";"Tel: (58) (212) 2672748";"Altamira Caracas, Venezuela";"Colegios"
"COLEGIO MIS ANHELOS";"";"Tel: (58) (212) 6900886";"Av Minerva, Las Acacias Caracas, Venezuela";"Colegios"
"LICEO MILITARIZADO MONSEÑOR ARIAS";"";"Tel: (58) (212) 5321134";"Filas De Mariche Filas de Mariche, Venezuela";"Colegios"
"MUCUBAJI";"";"Tel: (58) (241) 8214319";"Las Acacias Valencia, Venezuela";"Colegios"
"COLEGIO CENTRO INFANTIL ALTAMIRA";"";"Tel: (58) (212) 2613666";"Altamira Caracas, Venezuela";"Colegios"
