"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"MAYAGRO BRUZUAL, C.A.";"";"Tel: (58) (251) 8830035";"Calle de Servicio. Autp Ctro Occidental Chivacoa, Venezuela";"Equipos Para Agricultura"
"AGENCIA COMERCIAL ELECTRO MOTOR";"";"Tel: (58) (276) 2347285";"Sucursal El Piñal San Cristóbal, Venezuela";"Equipos Para Agricultura"
"BRONALVEN C.A";"";"Tel: (58) (243) 5516947";"Cll. A Cruce con Calle,Galpon 3 San Vicente II Maracay Maracay, Venezuela";"Equipos Para Agricultura"
"DRACA, C.A.";"";"Tel: (58) (243) 5516163";"Zona Industrial La Hamaca Maracay, Venezuela";"Equipos Para Agricultura"
"MAQUIAGRICOLA LOS ANDES, C.A.";"";"Tel: (58) (276) 3467749";"8va Avenida, Nro. 7-119, La Concordia San Cristóbal, Venezuela";"Equipos Para Agricultura"
"TOROTRAC";"";"Tel: (58) (212) 9515945";"Cl. Venezuela, Bello Monte Caracas, Venezuela";"Equipos Para Agricultura"
"LA CASA DEL CORTAGRAMA";"";"Tel: (58) (241) 8355110";"Av Lisandro Alvarado Valencia, Venezuela";"Equipos Para Agricultura"
"INBACOBI, C.A.";"";"Tel: (58) (276) 3432766";"Cl. 4, Centro San Cristóbal, Venezuela";"Equipos Para Agricultura"
"TAINSA";"";"Tel: (58) (255) 6216647";"Final Av. Páez, Salida San Carlos Av. Páez Acarigua, Venezuela";"Equipos Para Agricultura"
"D'EQUIPOS AGROSTIHL";"";"Tel: (58) (276) 7713294";"Carrera 6 San Antonio del Táchira, Venezuela";"Equipos Para Agricultura"
"W AGRO DISTRIBUCIONES, C.A.";"";"Tel: (58) (251) 2519556";"Calle 10, E/Crr.22 y 23 Barquisimeto, Venezuela";"Equipos Para Agricultura"
"DISTRIBUIDORA PESCAGRO Y PECUARIA";"";"Tel: (58) (276) 7713253";"Cr. 6, Pueblo Nuevo San Antonio del Táchira, Venezuela";"Equipos Para Agricultura"
"IMETRA, C.A.";"";"Tel: (58) (246) 8713716";"Ct Nacional Calabozo , Venezuela";"Equipos Para Agricultura"
"METALÚRGICA MEDINA METMECA, C.A.";"";"Tel: (58) (251) 2374672";"Calle 17, Entre Carreras 3 y 4 Zona Industrial I Barquisimeto, Venezuela";"Equipos Para Agricultura"
"TALLER AGROINDUSTRIAL TAIGUAIGUAI, C.A.";"";"Tel: (58) (244) 3952148";"Cl Comercio C/C Cl Taiguaiguai Cagua, Venezuela";"Equipos Para Agricultura"
"EQUIACA, C.A.";"";"Tel: (58) (212) 3442929";"Av Principal Centro Comercial Castillejo Guatire, Venezuela";"Equipos Para Agricultura"
"RIVERTEC, S A";"";"Tel: (58) (212) 9634411";"Cl Sur, La Lagunita Caracas, Venezuela";"Equipos Para Agricultura"
"OBRALUX C.A";"";"Tel: (58) (212) 5320595";"Ct. Petare - Sta Lucia El Limoncito Filas de Mariche, Venezuela";"Equipos Para Iluminación"
"NIVALDO ASOCIADOS C.A.";"";"Tel: (58) (212) 7624211";"Av Libertador CC El Bosque L 2 Caracas, Venezuela";"Equipos Para Laboratorios De Control De Calidad"
"FONDONORMA";"";"Tel: (58) (212) 5768371";"Caracas Caracas, Venezuela";"Equipos Para Laboratorios De Control De Calidad"
"IMAQSU, C.A.";"";"Tel: (58) (212) 9791464";"Av. Rio Paragua, Prados Del Este Caracas, Venezuela";"Equipos Para Procesamiento De Alimentos"
"AMS C.A.";"";"Tel: (58) (212) 3443049";"Carr. Nac Guatire La Rosa El Desvio Caracas, Venezuela";"Equipos Para Procesamiento De Alimentos"
"PESAMATIC, C.A.";"";"Tel: (58) (251) 2631823";"Barquisimetro Barquisimeto, Venezuela";"Equipos Para Procesamiento De Alimentos"
"INTORBE INTERCAMBIOS ORBE C.A.";"";"Tel: (58) (212) 4729406";"Cl 1, Colinas Vista Alegre Caracas, Venezuela";"Equipos Para Procesamiento De Alimentos"
"AUTOTOOL DE VENEZUELA";"";"Tel: (58) (212) 7537140";"Cl. Garcilazo, Cnas de Bello Monte Caracas, Venezuela";"Equipos Para Talleres De Mecanica Automotriz"
"LA CLÍNICA DEL TOYOTA";"";"Tel: (58) (276) 3416617";"Cl.14, Centro San Cristóbal, Venezuela";"Equipos Para Talleres De Mecanica Automotriz"
"REPRESENTACIONES VICMI, C.A.";"";"Tel: (58) (212) 9534328";"Bello Monte Caracas, Venezuela";"Equipos Para Talleres De Mecanica Automotriz"
"ACO-TEX, C.A.";"";"Tel: (58) (212) 9456031";"Cl. Arenal, La Trinidad - Caracas Caracas, Venezuela";"Equipos Para Talleres De Mecanica Automotriz"
"TORNI- RODA BARQUISIMETO, C.A";"";"Tel: (58) (251) 4460661";"Calle 50 Carrera 19 Barquisimeto Barquisimeto, Venezuela";"Equipos Para Talleres De Mecanica Automotriz"
"REPRESENTACIONES POLIGON, C.A.";"";"Tel: (58) (212) 6324538";"Caracas Caracas, Venezuela";"Equipos Para Talleres De Mecanica Automotriz"
"HOSPITAL VETERINARIO MARACAIBO";"";"Tel: (58) (261) 7921420";"Campo Creole, Numero 9 Calle 67, La Lago Maracaibo, Venezuela";"Equipos Veterinarios"
"INVERSIONES VETAMERICANA I, C.A.";"";"Tel: (58) (212) 9447229";"La Trinidad - Caracas Caracas, Venezuela";"Equipos Veterinarios"
"PRE-ESCOLAR GABRIELA MISTRAL";"";"Tel: (58) (212) 2727956";"La California Caracas, Venezuela";"Escuelas"
"ACADEMIA ABCEDUCA";"";"Tel: (58) (212) 2434098";"Terrazas Del Avila Caracas, Venezuela";"Escuelas"
"COLEGIO CENTRO INFANTIL ALTAMIRA";"";"Tel: (58) (212) 2613666";"Altamira Caracas, Venezuela";"Escuelas"
"COLEGIO C.I.A.L";"";"Tel: (58) (212) 5520251";"Av Los Próceres, San Bernardino Qta Maremar Caracas, Venezuela";"Escuelas"
"COLEGIO LOS CACIQUES";"";"Tel: (58) (212) 3643409";"C Acosta, Los Teques Los Teques, Venezuela";"Escuelas"
"CENTRO AVEPANE";"";"Tel: (58) (212) 9418989";"La Tahoma Caracas, Venezuela";"Escuelas"
"COLEGIO SANTISIMA CARIDAD";"";"Tel: (58) (212) 8711497";"Catia Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA COLEGIO CERVANTES";"";"Tel: (58) (212) 7936183";"Esq. Las Palmas, Florida Caracas, Venezuela";"Escuelas"
"COLEGIO GUAICAIPURO";"";"Tel: (58) (212) 6317365";"El Cementerio Caracas, Venezuela";"Escuelas"
"COLEGIO INVEDIN";"";"Tel: (58) (212) 7536513";"Cnas De Bello Monte Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA LOS CASTORES";"";"Tel: (58) (212) 3711041";"El Manantial Los Castores, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Escuelas"
"PREESCOLAR ASISTENCIAL DR PASTOR OROPEZA";"";"Tel: (58) (212) 5769832";"San Agustín Caracas, Venezuela";"Escuelas"
"ESCUELA COMEDOR CRISTO REY";"";"Tel: (58) (212) 8584391";"23 De Enero Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA NACIONAL MERCEDES LIMARDO";"";"Tel: (58) (212) 4435717";"Antímano Caracas, Venezuela";"Escuelas"
"INSTITUTO VENEZOLANO DE EDUCACIÓN";"";"Tel: (58) (212) 6311592";"El Cementerio Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA SANTA CLARA";"";"Tel: (58) (212) 3647105";"Los Teques Los Teques, Venezuela";"Escuelas"
"COLEGIO DEL SANTO ANGEL CONGREGACIÓN HERMANAS DEL ANGEL DE LA GUARDA";"";"Tel: (58) (239) 2256942";"Cl Ribas, Ocumare Del Tuy Ocumare del Tuy, Venezuela";"Escuelas"
"COLEGIO JESÚS MARÍA MARRERO";"";"Tel: (58) (212) 3626717";"La Llanada, Guarenas Guarenas, Venezuela";"Escuelas"
"TEBAR, JESÚS M DR";"";"Tel: (58) (212) 6817528";"Coche Caracas, Venezuela";"Escuelas"
"UEN MANUEL LANDETA ROSALES";"";"Tel: (58) (212) 8716532";"Catia Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA COLEGIO ANDRÉS BELLO";"";"Tel: (58) (212) 3712903";"El Picacho, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Escuelas"
"INSTITUTO TÉCNICO JESÚS OBRERO";"";"Tel: (58) (212) 8627172";"Catia Caracas, Venezuela";"Escuelas"
"AUTO LAVADO ARCO IRIS";"";"Tel: (58) (276) 3465214";"Cl. Pje El Mop, La Concordia San Cristóbal, Venezuela";"Escuelas"
"UEP COLEGIO CORBETA LEANDER";"";"Tel: (58) (212) 5000077";"F J Ustáriz San Bernardino Caracas, Venezuela";"Escuelas"
"COLEGIO LOS ARCOS";"";"Tel: (58) (212) 9453344";"La Esmeralda Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA JOSEFA URASQUÍN LÓPEZ";"";"Tel: (58) (212) 9860378";"San Luis Caracas, Venezuela";"Escuelas"
"COLEGIO CARLOS SOUBLETTE";"";"Tel: (58) (212) 3511024";"Catia La Mar, Maiquetia Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA ACADEMIA WASHINGTON";"";"Tel: (58) (212) 9757077";"Cnas Valle Arriba Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA JOSÉ ATANASIO GIRARDOT";"";"Tel: (58) (212) 3224983";"C.C El Cabotaje, Antiguo Reg Subalterno, Los Teques Los Teques, Venezuela";"Escuelas"
"COLEGIO UNIVERSITARIO DE ENFERMERÍA CMC";"";"Tel: (58) (212) 5525991";"San Bernardino Caracas, Venezuela";"Escuelas"
"COLEGIO LOLA CABRUJAS";"";"Tel: (58) (212) 8715753";"Catia Caracas, Venezuela";"Escuelas"
"ASOCIACIÍN CIVIL FÉ Y ALEGRÍA";"";"Tel: (58) (212) 2417532";"Petare Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA COLEGIO VENEZUELA";"";"Tel: (58) (212) 4723166";"Antímano Caracas, Venezuela";"Escuelas"
"INSTITUTO JEAN PIAGET";"";"Tel: (58) (212) 9621211";"Av Principal Urb Los Guayabitos Qta Instituto Jean Piaget, Baruta Caracas, Venezuela";"Escuelas"
"U E P COLEGIO SAN JOSÉ";"";"Tel: (58) (212) 3445784";"Sc El Desvío, Guatire Guatire, Venezuela";"Escuelas"
"PREESCOLAR ASOCIACIÓN CIVIL UD 1";"";"Tel: (58) (212) 4332113";"Caricuao Caracas, Venezuela";"Escuelas"
"COLEGIO CUMBRES DE CARACAS";"";"Tel: (58) (212) 9773533";"Cumbres De Curumo Caracas, Venezuela";"Escuelas"
"COLEGIO INTEGRAL EL AVILA";"";"Tel: (58) (212) 2420811";"Terrazas Del Avila Caracas, Venezuela";"Escuelas"
"CENTRO GUSTAVITO GARCIA LUJÁN";"";"Tel: (58) (212) 9639205";"El Hatillo Caracas, Venezuela";"Escuelas"
"UNIDAD ESCUELA PARROQUIAL CORAZÓN DE MARÍA";"";"Tel: (58) (212) 2718396";"Petare Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA LOS HIPOCAMPITOS CENTRO DE FORMACIÓN INTEGRAL";"";"Tel: (58) (212) 3835715";"Corralito, Carrizal Carrizal, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA SIMÓN RODRÍGUEZ";"";"Tel: (58) (212) 3720797";"Cl Bolívar, El Sitio, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA VISTA AVILA C.A";"";"Tel: (58) (212) 3347407";"Cl Las Animas Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA CONGRESO DE ANGOSTURA";"";"Tel: (58) (239) 2314828";"E Carmen, Santa Teresa Santa Teresa, Venezuela";"Escuelas"
"JARDIN DE INFANCIA AÑO BICENTENARIO";"";"Tel: (58) (212) 8606147";"Los Mecedores Caracas, Venezuela";"Escuelas"
"CIEI";"";"Tel: (58) (212) 4713923";"Montalbán Caracas, Venezuela";"Escuelas"
"COLEGIO SAN MARCOS";"";"Tel: (58) (212) 2340689";"Campo Claro Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA VARGAS II";"";"Tel: (58) (212) 4513213";"Av Páez C.C. Santa Rita, El Paraíso Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA TULIPÁN";"";"Tel: (58) (212) 2560459";"Macaracuay Caracas, Venezuela";"Escuelas"
"ESCUELA PARROQUIAL LA CONSTANCIA";"";"Tel: (58) (212) 8715261";"El Amparo Caracas, Venezuela";"Escuelas"
"UNIDAD DE APOYO EDUCATIVO MUNICIPAL SAN JOSÉ";"";"Tel: (58) (212) 9539927";"El Rosal Caracas, Venezuela";"Escuelas"
"UEP JUAN PABLO SOJO RENGIFO";"";"Tel: (58) (239) 2317315";"Centro, Santa Teresa Santa Teresa, Venezuela";"Escuelas"
"IPSOPOL";"";"Tel: (58) (212) 5783232";"La Candelaria Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA SIMÓN BOLÍVAR Y GIUSEPPE GARIBALDI";"";"Tel: (58) (212) 2420364";"El Marqués Caracas, Venezuela";"Escuelas"
"COLEGIO SAN JOSÉ DEL AVILA";"";"Tel: (58) (212) 8602764";"Altagracia Caracas, Venezuela";"Escuelas"
"INSTITUTO EINSTEIN";"";"Tel: (58) (212) 2663671";"Chacao, Caracas Caracas, Venezuela";"Escuelas"
"UEP MANUEL FONBONA PALACIO";"";"Tel: (58) (239) 2252076";"Sn Francisco De Yare San Francisco de Yare , Venezuela";"Escuelas"
"ESCUELA NACIONAL LOS NARANJOS";"";"Tel: (58) (212) 4727255";"La Vega Caracas, Venezuela";"Escuelas"
"ESCUELA MUNICIPAL BÁRBARO RIVAS";"";"Tel: (58) (212) 9455368";"Las Minas De Baruta Caracas, Venezuela";"Escuelas"
"INSTITUTO NOCTURNO DE COMERCIO EL VALLE";"";"Tel: (58) (212) 6722202";"El Valle Caracas, Venezuela";"Escuelas"
"CENTRO EDUCATIVO APUCY";"";"Tel: (58) (212) 7539513";"Cnas De Bello Monte Caracas, Venezuela";"Escuelas"
"CENTRO ASISTENCIAL MANDREA";"";"Tel: (58) (212) 5716634";"Sarría Caracas, Venezuela";"Escuelas"
"COLEGIO MARISCAL SUCRE";"";"Tel: (58) (212) 7636457";"Sabana Grande Caracas, Venezuela";"Escuelas"
"COLEGIO MARÍA SANTISIMA";"";"Tel: (58) (212) 2376141";"El Marqués Caracas, Venezuela";"Escuelas"
"ESCUELA FE Y ALEGRÍA";"";"Tel: (58) (212) 6828527";"Coche Caracas, Venezuela";"Escuelas"
"INSTITUTO BOLIVARIANO DE EDUCACIÓN ESPECIAL";"";"Tel: (58) (212) 4325210";"Caricuao Caracas, Venezuela";"Escuelas"
"INSTITUTO DAVID PASCOR";"";"Tel: (58) (212) 8723036";"Catia Caracas, Venezuela";"Escuelas"
"ASESORÍAS ESTUDIANTILES ASES";"";"Tel: (58) (212) 3711204";"Los Salias, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Escuelas"
"COLEGIO PRIVADO ARRÍAS";"";"Tel: (58) (212) 8720233";"Propatria Caracas, Venezuela";"Escuelas"
"ESCUELA DE ENSEÑANZA ADM SAS";"";"Tel: (58) (212) 8721645";"Propatria Caracas, Venezuela";"Escuelas"
"U E TERESA CEPEDA";"";"Tel: (58) (212) 8088649";"La Pastora Caracas, Venezuela";"Escuelas"
"C P A M C J";"";"Tel: (58) (212) 2397855";"Los Chorros Caracas, Venezuela";"Escuelas"
"LUTIRLA";"";"Tel: (58) (212) 3313990";"Alamo, Maiquetia Caracas, Venezuela";"Escuelas"
"COLEGIO PEDAGOGICO INFANTIL";"";"Tel: (58) (212) 2713664";"La California Norte, Caracas Caracas, Venezuela";"Escuelas"
"CENTRO DE PROFESIONALIZACIÓN FE Y ALEGRÍA";"";"Tel: (58) (212) 2425949";"La Urbina Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA JOSÉ ANGEL DE ALAMO";"";"Tel: (58) (239) 2314840";"Av Ayacucho, Santa Teresa Santa Teresa, Venezuela";"Escuelas"
"ESCUELA BÁSICA NACIONAL JOSÉ FÉLIX RIVAS";"";"Tel: (58) (212) 2859128";"Sebucán Caracas, Venezuela";"Escuelas"
"ESCUELA MUNICIPAL MONSEÑOR CASTILLO";"";"Tel: (58) (212) 9451564";"Baruta Caracas, Venezuela";"Escuelas"
"COLEGIO SANTA MARIANA";"";"Tel: (58) (212) 3721992";"El Picacho, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Escuelas"
"COLEGIO NUESTRA SEÑORA DE LA PAZ";"";"Tel: (58) (212) 4428505";"Montalbán Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA MANUEL MONTANER";"";"Tel: (58) (212) 4618147";"El Paraíso Caracas, Venezuela";"Escuelas"
"UNIDAD EDCATIVA DOCTOR LUIS MARÍA OLASO JUNYENT";"";"Tel: (58) (212) 3631701";"El Calvario, Guarenas Guarenas, Venezuela";"Escuelas"
"EDUPLACE";"";"Tel: (58) (212) 7625020";"Las Delicias Caracas, Venezuela";"Escuelas"
"INSTITUTO EDUCACIONAL GLADYS DE FREITES";"";"Tel: (58) (212) 8728463";"Catia Caracas, Venezuela";"Escuelas"
"COLEGIO SANTIAGO DE LEÓN DE CARACAS";"";"Tel: (58) (212) 2845465";"La Floresta Caracas, Venezuela";"Escuelas"
"COLEGIO TERESIANO LA CASTELLANA";"";"Tel: (58) (212) 2665422";"La Castellana Caracas, Venezuela";"Escuelas"
"INCE TURISMO C.A";"";"Tel: (58) (212) 2329793";"Los Ctjos De Lourdes Caracas, Venezuela";"Escuelas"
"GRUPO ESCOLAR NACIONAL DR G DELGADO P";"";"Tel: (58) (212) 6828002";"El Valle Caracas, Venezuela";"Escuelas"
"LICEO LUIS CORREA";"";"Tel: (58) (212) 3643621";"El Paso, Los Teques Los Teques, Venezuela";"Escuelas"
"INSTITUTO PRINCIPAL EDUCATIVO C.A";"";"Tel: (58) (212) 4613755";"San Martín Caracas, Venezuela";"Escuelas"
"CENTRO PRE ESCOLAR CARICUAO I";"";"Tel: (58) (212) 4311289";"Caricuao Caracas, Venezuela";"Escuelas"
"COLEGIO EL PILAR";"";"Tel: (58) (212) 5423948";"Santa Rosalía Caracas, Venezuela";"Escuelas"
"COLEGIO AVE MARÍA";"";"Tel: (58) (212) 4725502";"El Paraíso Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA CAURIMARE UNO";"";"Tel: (58) (212) 9852982";"Caurimare Caracas, Venezuela";"Escuelas"
"ASOCIACIÓN PARA UNA NUEVA EDUCACIÓN APUNE";"";"Tel: (58) (212) 7820665";"Cnas De Los Caobos Caracas, Venezuela";"Escuelas"
"PREESCOLAR EVA DE VILLASMIL";"";"Tel: (58) (212) 5500223";"San José Caracas, Venezuela";"Escuelas"
"AC UNIDAD EDUCATIVA PRIVADA FUNDAMERICANA";"";"Tel: (58) (212) 4824742";"Santa Teresa Caracas, Venezuela";"Escuelas"
"COLEGIO ADVENTISTA RICARDO GREENIDGE";"";"Tel: (58) (212) 4828650";"El Paraíso Caracas, Venezuela";"Escuelas"
"ASOCIACIÓN DE PROMOCIÓN DE EDUCACIÓN POPULAR";"";"Tel: (58) (212) 4319511";"Caricuao Caracas, Venezuela";"Escuelas"
"FUSERNE C.A";"";"Tel: (58) (212) 2324254";"Horizonte Caracas, Venezuela";"Escuelas"
"PREESCOLAR SIMÓN BOLÍVAR";"";"Tel: (58) (212) 9770831";"Prados Del Este Caracas, Venezuela";"Escuelas"
"UEI MAESTRO FÉLIX ADAMS";"";"Tel: (58) (212) 6622885";"Los Chaguaramos Caracas, Venezuela";"Escuelas"
"INSTITUTO LEOPARDI";"";"Tel: (58) (212) 7531480";"Cnas De Bello Monte Caracas, Venezuela";"Escuelas"
"COLEGIO JUAN XXIII";"";"Telefax: (58) (212) 6939354";"Los Rosales Caracas, Venezuela";"Escuelas"
"COLEGIO GABRIELA MISTRAL";"";"Tel: (58) (212) 4421150";"Montalbán Caracas, Venezuela";"Escuelas"
"PREESCOLAR NUESTRA SEÑORA DEL ROSARIO";"";"Tel: (58) (212) 9451673";"Baruta Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA INSTITUTO ARTURO MICHELENA";"";"Tel: (58) (212) 9451559";"Sorocaima Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA SAN MARTÍN DE PORRES";"";"Tel: (58) (212) 5763591";"Guaicaipuro Caracas, Venezuela";"Escuelas"
"A C TERESA DE BOLÍVAR";"";"Tel: (58) (212) 2488249";"Centro, Charallave Caracas, Venezuela";"Escuelas"
"COLEGIO SAN ANTONIO DE MACARACUAY";"";"Tel: (58) (212) 2571905";"Macaracuay Caracas, Venezuela";"Escuelas"
"EP SAN JUAN BAUTISTA";"";"Tel: (58) (212) 4810410";"San Juan Caracas, Venezuela";"Escuelas"
"GRUPO ESCOLAR REPÚBLICA DEL ECUADOR";"";"Tel: (58) (212) 4517727";"San Martín Caracas, Venezuela";"Escuelas"
"COMUNIDAD EDUCATIVA DE LA U.E.N LUZ MARÍA TOSTA";"";"Tel: (58) (212) 8583561";"23 De Enero Caracas, Venezuela";"Escuelas"
"CASA DE LOS NIÑOS EL TURPIAL";"";"Tel: (58) (212) 6818252";"Coche Caracas, Venezuela";"Escuelas"
"COLEGIO ISLÁMICO DE VENEZUELA";"";"Tel: (58) (212) 4728323";"El Paraiso Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA PRIVADA EL GRAN ABORIGEN";"";"Tel: (58) (212) 3643115";"Matica Abajo, Los Teques Los Teques, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA LAURA VICUÑA";"";"Tel: (58) (212) 2384712";"El Marqués Caracas, Venezuela";"Escuelas"
"INSTITUTO LINO DE CLEMENTE";"";"Tel: (58) (212) 6939281";"Los Rosales Caracas, Venezuela";"Escuelas"
"COLEGIO ALA BLANCA";"";"Tel: (58) (212) 2345223";"La Carlota, Caracas Caracas, Venezuela";"Escuelas"
"COLEGIO AGUSTINIANO CRISTO REY";"";"Tel: (58) (212) 6930080";"Santa Mónica Caracas, Venezuela";"Escuelas"
"COLEGIO EL CARMELO";"";"Tel: (58) (212) 6329451";"Las Acacias Caracas, Venezuela";"Escuelas"
"INSTITUTO DE EDUCACIÓN INTEGRAL EL NIÑO DON SIMÓN";"";"Tel: (58) (212) 6900711";"Las Acacias Caracas, Venezuela";"Escuelas"
"INSTITUTO EDUCACIÓN ESPECIAL BICENTENARIO";"";"Tel: (58) (212) 8605621";"La Pastora Caracas, Venezuela";"Escuelas"
"COLEGIO SUCRE";"";"Tel: (58) (212) 2347365";"Sucre, Los Teques Los Teques, Venezuela";"Escuelas"
"INSTITUTO EDUCATIVO TIUNA";"";"Tel: (58) (212) 4317386";"Ruiz Pineda Caracas, Venezuela";"Escuelas"
"COLEGIO SANTA ROSALÍA";"";"Tel: (58) (212) 5417908";"Santa Rosalía Caracas, Venezuela";"Escuelas"
"COLEGIO EUGENIA RAVASCO";"";"Tel: (58) (212) 2340041";"Los Chorros Caracas, Venezuela";"Escuelas"
"INSTITUTO PSICOPEDAGÓGICO ESCUELA DIFERENCIAL";"";"Tel: (58) (212) 9781148";"Cumbres De Curumo Caracas, Venezuela";"Escuelas"
"CENTRO PRE ESCOLAR SIMÓN RODRÍGUEZ";"";"Tel: (58) (212) 7932473";"Simón Rodríguez Caracas, Venezuela";"Escuelas"
"INSTITUTO EDUCATIVO NUESTRA SEÑORA DE LA COPACABANA";"";"Tel: (58) (212) 3614208";"Cl Andrés Bello Edif Carmen Beatriz, Guarenas Guarenas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA PRIVADA COLEGIO JESÚS NIÑO DE MAMPOTE";"";"Tel: (58) (212) 3625672";"Mampote, Guarenas Guarenas, Venezuela";"Escuelas"
"COLEGIO BOLÍVAR Y FREUD";"";"Tel: (58) (212) 8729086";"Catia Caracas, Venezuela";"Escuelas"
"COLEGIO EL ANGEL";"";"Tel: (58) (212) 9924586";"Cl Imataca, Chuao Caracas, Venezuela";"Escuelas"
"COLEGIO NAZARENO DE SAN PABLO";"";"Tel: (58) (212) 5725201";"San Agustín Caracas, Venezuela";"Escuelas"
"INCE METAL MINERO";"";"Tel: (58) (212) 2342508";"Los Ctjos De Lourdes Caracas, Venezuela";"Escuelas"
"GUARDERÍA INFANTIL USB";"";"Tel: (58) (212) 8080292";"La Guaira, Maiquetia Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA EL GRAN MAESTRO JESÚS";"";"Tel: (58) (212) 3311405";"Maiquetia Caracas, Venezuela";"Escuelas"
"INSTITUTO UNIVERSTARIO DEL CENTRO";"";"Tel: (58) (212) 5719554";"La Candelaria Caracas, Venezuela";"Escuelas"
"PARROQUIA NUESTRA SEÑORA REINA DEL MUNDO";"";"Tel: (58) (212) 4720318";"La Paz Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA ANZOÁTEGUI";"";"Tel: (58) (212) 4622295";"El Paraíso Caracas, Venezuela";"Escuelas"
"SEMINARIO PRE NOVICIADO";"";"Tel: (58) (212) 3649884";"Los Teques Los Teques, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA INSTITUTO ESCUELA";"";"Tel: (58) (212) 9784464";"Cl Maracaibo, Prados Del Este Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA SAN ANTONIO DE PADUA";"";"Tel: (58) (212) 4810275";"Cjón Machado El Paraíso Caracas, Venezuela";"Escuelas"
"PRE-ESCOLAR SIMÓN RODRÍGUEZ";"";"Tel: (58) (212) 2563095";"Macaracuay Caracas, Venezuela";"Escuelas"
"COLEGIO ALEGRE DESPERTAR";"";"Tel: (58) (212) 2420997";"Masparro, El Marqués Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA JOSEFINA DAVIOT";"";"Tel: (58) (212) 5712943";"La Candelaria Caracas, Venezuela";"Escuelas"
"COLEGIO SANTA MARÍA";"";"Tel: (58) (212) 3835072";"Colinas De Carrizal Carrizal, Venezuela";"Escuelas"
"ESCUELA DE OFICIOS EL CEMENTERIO";"";"Tel: (58) (212) 6901189";"Los Rosales Caracas, Venezuela";"Escuelas"
"U E FUENTE DE JACOB";"";"Tel: (58) (212) 8628076";"Catia Caracas, Venezuela";"Escuelas"
"CENTRO ESCOLAR AULA NUEVA S.R.L";"";"Tel: (58) (212) 9851662";"Santa Paula Caracas, Venezuela";"Escuelas"
"COLEGIO CEDENI";"";"Tel: (58) (212) 6932875";"Santa Mónica Caracas, Venezuela";"Escuelas"
"COLEGIO MODERNO";"";"Tel: (58) (212) 8645432";"La Pastora Caracas, Venezuela";"Escuelas"
"COLEGIO MONSEÑOR CASTILLO";"";"Tel: (58) (212) 8627463";"La Pastora Caracas, Venezuela";"Escuelas"
"LICEO ANTONIO MUÑOZ TEBAR";"";"Tel: (58) (212) 4427832";"San Martín Caracas, Venezuela";"Escuelas"
"UNIDAD EDUCATIVA MARIANO TALAVERA";"";"Tel: (58) (212) 9411697";"Los Samanes Caracas, Venezuela";"Escuelas"
"COLEGIO SAN AGUSTÍN";"";"Tel: (58) (212) 2720190";"El Marqués Caracas, Venezuela";"Escuelas"
"ACADEMIA CRISTIANA INTERNACIONAL DE CARACAS";"";"Tel: (58) (212) 7540321";"Cnas De Bello Monte Caracas, Venezuela";"Escuelas"
"COLEGIO ANTONIO ORTEGA ORDOÑEZ";"";"Tel: (58) (212) 3720098";"Dolores, S Antonio De L Altos San Antonio De Los Altos, Venezuela";"Escuelas"
