"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"INSTITUTO MÉDICO DOCENTE DEL ESTE, C.A.";"";"Tel: (58) (251) 2524061";"Carrera 24 Entre Calle 5 Y 6, Urb. Del Este, Barquisimeto, Edo. Laura Barquisimeto, Venezuela";"Clínicas Y Hospitales"
"UNIDAD CARDIOPULMONAR";"";"Tel: (58) (276) 3566287";"Barrio Obrero San Cristóbal, Venezuela";"Clínicas Y Hospitales"
"HPO HOSPITAL PRIVADO DE OCCIDENTE";"";"Tel: (58) (212) 6004766";"Av. Vencedores De Araure (Salidad Barquisimeto), Sector Los Malabares, Araure, Edo. Portuguesa Caracas, Venezuela";"Clínicas Y Hospitales"
"POLICLINICA DE OJOS";"";"Tel: (58) (293) 4322860";"Av. Santa Rosa No. 45 cruce con Calle Vela de Coro Cumaná, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA IDET BARQUISIMETO";"";"Tel: (58) (212) 2524353";"Carrera 23 E/Cl 11 Y 12 Caracas, Venezuela";"Clínicas Y Hospitales"
"CENTRO DE ESPECIALIDADES OFTALMOLÓGICAS";"";"Telefax: (58) (285) 2629805";"Centro Empresarial AB, Av. Bolívar, Nivel Mezzanina Local 2 Ciudad Bolivar, Venezuela";"Clínicas Y Hospitales"
"POLICLÍNICA SAN JAVIER";"";"Tel: (58) (212) 2734812";"Entre Carreras 33 Y 34 Av. Andrés Bello Caracas, Venezuela";"Clínicas Y Hospitales"
"POLICLINICA "SAN FRANCISCO", C.A.";"";"Tel: (58) (261) 7630211";"Av. 5 Principal De San Francisco, N³ 23-62 Maracaibo-Edo. Zulia Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CLINICA CICA";"";"Tel: (58) (288) 2215855";"Cl Miranda Upatá, Venezuela";"Clínicas Y Hospitales"
"CARROCERIAS PROINTER, S.A.";"";"Tel: (58) (251) 4820051";"Planta Yaritagua Yaritagua, Venezuela";"Clínicas Y Hospitales"
"CENTRO MÉDICO MADRE MARÍA DE SAN JOSÉ";"";"Tel: (58) (261) 7315936";"Urb. Coromoto, Calle 165, No. 40-163 Municipio San Francisco, Maracaibo, Edo. Zulia Maracaibo, Venezuela";"Clínicas Y Hospitales"
"SERPROTEFA, C.A.";"";"Tel: (58) (276) 7989740";"Av. 86a E/Av.4 B Vista y Av.8 San Cristóbal, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO QUIRURGICO HOSPITAL PRIVADO C.A.";"";"Tel: (58) (251) 4429810";"Av. Pedro León Torres, Cruce Calle 55, Barquisimeto - Edo. Lara Barquisimeto, Venezuela";"Clínicas Y Hospitales"
"CLINICA CHILEMEX, C.A.";"";"Tel: (58) (286) 7132210";"Edif. Cemeca, Calle Chile Ciudad Guayana San Félix, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA YACAMBU";"";"Tel: (58) (212) 4455080";"Carrera 17 Ayacucho Caracas, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO DEL NORTE";"";"Tel: (58) (261) 7579294";"Av. Goajira Cruce Con Calle 46 y 47, Plaza De Toros, Edo. Zulia Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CLINICA EJIDO C.A.";"";"Tel: (58) (274) 2212455";"Ejido Ejido, Venezuela";"Clínicas Y Hospitales"
"CLINICA SANTIAGO DE MERIDA";"";"Tel: (58) (274) 2636183";"Av. 2, El Encanto Mérida, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO PORTUGUESA C.A.";"";"Tel: (58) (251) 2531853";"Carrera 4, Guanare, Edo. Portuguesa Barquisimeto, Venezuela";"Clínicas Y Hospitales"
"UNIDAD AMBULATORIA DE CIRUJÍA DR. SIMÓN LIZARDO";"";"Tel: (58) (212) 2551064";"Urb. Del Este. Crr. 3 C/Cl14 Caracas, Venezuela";"Clínicas Y Hospitales"
"CPAP COMPANY DE VENEZUELA, C.A.";"";"Fax: (58) (274) 2443519";"Oanexo 1 Clinica Albarregas Urb. Santa Ana C/Ejido Qta Claez Mérida Mérida, Venezuela";"Clínicas Y Hospitales"
"POLICLÍNICA PARAGUANA, C.A.";"";"Tel: (58) (212) 2456232";"Edificio Clínica Paraguana Cl. Comercio Caja De Agua Caracas, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO PARAISO";"";"Tel: (58) (261) 7410222";"Maracaibo Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA VENEZUELA";"";"Tel: (58) (272) 5727329";"Alcabala A Peligro No.7, La Candelaria Trujillo, Venezuela";"Clínicas Y Hospitales"
"CLÍNICA DEL VERLIGO";"";"Tel: (58) (212) 2621826";"Av. San Juan Bosco, Piso 9. Oficina 93, Altamira, Carcas Caracas, Venezuela";"Clínicas Y Hospitales"
"CENTRO OFTALMOLOGICO METROPOLITANO, C.A.";"";"Tel: (58) (276) 3470833";"Av. 19 De Abril San Cristóbal, Venezuela";"Clínicas Y Hospitales"
"INSTITUTO VENEZOLANO DE LOS SEGUROS SOCIALES HOSPITAL DR. DOMINGO GUZMAN LANDER";"";"Tel: (58) (281) 2861766";"Av. Intercomunal Andrés Bello, Sector Las Garzas Barcelona, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO VENEZUELA";"";"Tel: (58) (283) 2416844";"Av. Fco de Miranda con Calle 19 Norte El Tigre, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO MAZZARRI REY, C.A.";"";"Tel: (58) (283) 2413949";"Cl 20 Sur al lado de Intercable El Tigre, Venezuela";"Clínicas Y Hospitales"
"SERVICIOS MEDICOS UNIVERSAL C.A.";"";"Tel: (58) (261) 7872827";"Circunvalación 3 - Maracaibo Maracaibo, Venezuela";"Clínicas Y Hospitales"
"CENTRO MEDICO DE CABIMAS";"";"Tel: (58) (264) 2004100";"Av. Miraflores N³2, Cabimas, Edo. Zulia. Cabimas, Venezuela";"Clínicas Y Hospitales"
"A NOSA TERRA RESTAURANT";"";"Tel: (58) (212) 5779876";"La Candelaria - Caracas Caracas, Venezuela";"Comida Española"
"LA CALETA";"";"Tel: (58) (212) 7824198";"Av. Las Acacias Diagonal A La Torre La Previsora Caracas, Venezuela";"Comida Española"
"CASA VASCA RESTAURANT";"";"Tel: (58) (212) 9524146";"Av. Fco. De Miranda, Edif. Centro Lido, Nivel Parque Local P-3 Caracas, Venezuela";"Comida Española"
"FRANGO'S GRILL";"";"Tel: (58) (249) 3835177";"Carr. Panamericana Edif. Frango's, Piso P.B. Urbanización Corralito Km.20, Carrizal, Edo. Miranda Miranda, Venezuela";"Comida Española"
"LA PUERTA DE ALCALA";"";"Tel: (58) (212) 9935737";"Cl. Madrid, Quinta Esther, Las Mercedes Caracas, Venezuela";"Comida Española"
"RESTAURANT Y MARISQUERIA CRISTAL MAR";"";"Tel: (58) (212) 3933489";"Av. La Playa, Macuto Caracas, Venezuela";"Comida Española"
"EL MESÓN DEL FARO";"";"Tel: (58) (212) 3520272";"Catia La Mar Caracas, Venezuela";"Comida Española"
"TASCA EL BARCO DE COLÓN";"";"Tel: (58) (272) 5725405";"Ferrenquin A Tracabordo La Candelaria Trujillo, Venezuela";"Comida Española"
"RESTAURANT LA TERTULIA, S.R.L.";"";"Tel: (58) (248) 5741476";"Edf. Juan Carlos, Planta Baja Av. Alcabala, La Candelaria San Carlos, Venezuela";"Comida Española"
"RESTAURANT EL LAGAR";"";"Tel: (58) (212) 7627828";"Av. Fco. Solano Con Cl. Los Apamates, Edif. San José, P.B. Sabana Grande Caracas, Venezuela";"Comida Española"
"RESTAURANT LA ORQUIDEA";"";"Tel: (58) (212) 8620068";"Altagracia - Caracas Caracas, Venezuela";"Comida Española"
"RESTAURANT ALTAMAR";"";"Tel: (58) (212) 2668841";"3ra. Transv., Alatmira Caracas, Venezuela";"Comida Española"
"SOLO PAELLA, C.A.";"";"Tel: (58) (212) 9790041";"Cr. San Juan De Dios, Santa Fe Caracas, Venezuela";"Comida Española"
"EL SARAO DE GUSTAVO RESTAURANT";"";"Tel: (58) (286) 2870696";"Av. Intercomunal Lechería, Sector Las Garzas Ciudad Guayana San Félix, Venezuela";"Comida Española"
"EL FOGON, C.A.";"";"Tel: (58) (261) 7432142";"Prolg Delicias Maracaibo, Venezuela";"Comida Española"
"BAR RESTAURANT CILANTRO'S";"";"Tel: (58) (271) 2310585";"Av. Bolivar, Las Acacias Valera, Venezuela";"Comida Española"
"EL QUIJOTE DE LA CANDELARIA";"";"Tel: (58) (248) 5754264";"Cl. Cruz De Candelaria San Carlos, Venezuela";"Comida Española"
"BAR RESTAURANT LA CITA";"";"Tel: (58) (248) 5738819";"Esq. Alcabala La Candelaria San Carlos, Venezuela";"Comida Española"
"RESTAUTANT MESON SALMANTINO";"";"Tel: (58) (212) 7630215";"Sabana Grande - Caracas Caracas, Venezuela";"Comida Española"
"BAR RESTAURANT EL GALEÓN, C.A.";"";"Tel: (58) (241) 8243082";"Detrás De Imgeve, Av Mda, Valencia Valencia, Venezuela";"Comida Española"
"RESTAURANT Y MARISQUERÍA SOCO, S.R.L.";"";"Tel: (58) (244) 3211690";"Esquina El Soco Av Fco Loreto, La Victoria La Victoria, Venezuela";"Comida Española"
"RESTAURANT EL PORTÓN DE LA ABUELA, C.A.";"";"Tel: (58) (243) 2427191";"Cruce Con Calle Cecilio Acosta Diagonal A Central Madeirense Av Las Delicias La Rinconada, Maracay Maracay, Venezuela";"Comida Española"
"RIAS GALLEGAS";"";"Tel: (58) (212) 7630575";"Av. Fco. Solano Sabana Grande Caracas, Venezuela";"Comida Española"
"RESTAURANT LA HUERTA";"";"Tel: (58) (212) 7627882";"Sabana Grande - Caracas Caracas, Venezuela";"Comida Española"
"LA TABERNA DEL NAVEGANTE";"";"Tel: (58) (212) 2674884";"Chacao - Caracas Caracas, Venezuela";"Comida Española"
"LA GUACAMAYA";"";"Tel: (58) (212) 2639983";"Cl. Sucre Chacao Caracas, Venezuela";"Comida Española"
"CASA FARRUCO RESTAURANT";"";"Tel: (58) (248) 5769494";"Esq. Peligro, La Candelaria San Carlos, Venezuela";"Comida Española"
"MIRÓ TAPAS Y PINTXOS";"";"Tel: (58) (212) 9613455";"Cl. Comercio, Esq. La Paz, El Hatillo Caracas, Venezuela";"Comida Española"
"VILLA MADRID";"";"Tel: (58) (243) 2461993";"Av 19 De Abril, Maracay Maracay, Venezuela";"Comida Española"
"TASCA RESTAURANT EL BODEGÓN DE SEVILLA";"";"Tel: (58) (243) 2427914";"Av Las Delicias, Maracay Maracay, Venezuela";"Comida Española"
"RESTAURANT LA PAELLA VALENCIANA";"";"Tel: (58) (243) 2377775";"Av Miranda Este, San Agustín, Maracay Maracay, Venezuela";"Comida Española"
"RESTAURANT EL BARQUERO";"";"Tel: (58) (212) 2614645";"Av. Luis Roche, Altamira Caracas, Venezuela";"Comida Española"
"EL MESÓN DEL PARQUE";"";"Tel: (58) (212) 5762761";"Av. Lecuna Parque Central Caracas, Venezuela";"Comida Española"
"BAR RESTAURANT LA CARABELA";"";"Tel: (58) (212) 5783029";"La Candelaria - Caracas Caracas, Venezuela";"Comida Española"
"BAR RESTAURANT DENA - ONA, C.A.";"";"Tel: (58) (212) 9535106";"Av. Tamanaco, El Rosal Caracas, Venezuela";"Comida Española"
"INDUSTRIAS TORNADO, C.A.";"";"Tel: (58) (286) 9222860";"Final Av. Las Américas Ciudad Guayana Puerto Ordaz, Venezuela";"Colectores De Polvo"
"VENTILAIRE C.A.";"";"Tel: (58) (286) 9235578";"Urbanización Orinoco, Calle Oriente c/c Avenida Principal de Castillito Ciudad Guayana Puerto Ordaz, Venezuela";"Colectores De Polvo"
"DATA POWER, C.A.";"";"Tel: (58) (212) 2393562";"Av. El Buen Pastor, Edf. Cota Mil, Boleita Norte, Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECTRONICA WEBSTER, C.A.";"";"Tel: (58) (212) 5641197";"Av. Urdaneta, La Candelaria Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECOM POWER SYSTEMS TPS CA";"";"Tel: (58) (212) 2399810";"Calle Santa Ana, Edif Peñafiel, Piso 4, Ofic. 4-B, Boleíta Sur Caracas, Venezuela";"Comunicaciones Empresariales"
"DIGITAL NETWORK 2002, C.A.";"";"Tel: (58) (212) 3415387";"Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"VTE TELECOMUNICACIONES CA";"";"Tel: (58) (212) 9521422";"Av. Tamanaco Edif. Unión, el Rosal Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"WESTERN TELECOM, C.A.";"";"Tel: (58) (212) 2851060";"4ta Tv, Los Palos Grandes Caracas, Venezuela";"Comunicaciones Empresariales"
"TECOMUNICA, S.A.";"";"Tel: (58) (212) 2577480";"La California Sur Caracas, Venezuela";"Comunicaciones Empresariales"
"TELEMONTAJES, C.A.";"";"Tel: (58) (212) 2395362";"Av. Fco de Miranda, Boleíta Caracas, Venezuela";"Comunicaciones Empresariales"
"TELENERGY PROYECTOS M.I., CA";"";"Tel: (58) (212) 9761854";"Los Campitos Caracas, Venezuela";"Comunicaciones Empresariales"
"REDEX M.G.D. TELECOMUNICACIONES, C.A.";"";"Tel: (58) (212) 9513479";"Av Venezuela El Rosal Caracas, Venezuela";"Comunicaciones Empresariales"
"VERSACELL, C.A";"";"Tel: (58) (212) 7618721";"Sabana Grande Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECTRONICA VALERO, S.A.";"";"Tel: (58) (212) 7821847";"1³ Transv., Maripérez Caracas, Venezuela";"Comunicaciones Empresariales"
"REDESCOMM, C.A.";"";"Tel: (58) (212) 2677278";"Fco. de Miranda, Altamira Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECOMUNICACIONES J 3 G, CA";"";"Tel: (58) (212) 6623897";"Calle Bellas Artes, Qta. Carmen, 1er Piso, Los Chaguaramos Caracas, Venezuela";"Comunicaciones Empresariales"
"RADIOCOMUNICACIONES CRUZ, C.A.";"";"Tel: (58) (212) 7932322";"Cnas. de los Caobos Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECOMUNICACIONES EVER PERDOMO";"";"Tel: (58) (212) 7621658";"Boulevard Sabana Grande, Edif. Araure, Piso 3, Oficina 303 Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECOMUNICACIONES INMATEL";"";"Tel: (58) (212) 7316246";"Calle la Floresta, La Campiña Caracas, Venezuela";"Comunicaciones Empresariales"
"SUMINISTROS Y MONTAJES TELECOM, C.A.";"";"Tel: (58) (212) 9522648";"Bello Monte Caracas, Venezuela";"Comunicaciones Empresariales"
"R & T COMUNICACIONES, C.A.";"";"Tel: (58) (212) 5782937";"Calle Real de Sarria, Galpon Nro. 131 Caracas, Venezuela";"Comunicaciones Empresariales"
"SISTEMAS DATASYS, C.A.";"";"Tel: (58) (212) 9539932";"Cl Baruta Quinta Sd Bello Monte Norete, Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"SEDECOM, C.A.";"";"Tel: (58) (212) 8625415";"Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"RADIOSERVICE 3000, C.A.";"";"Tel: (58) (212) 9521235";"Av ppal El Bosque, Chacaito Caracas, Venezuela";"Comunicaciones Empresariales"
"PAGECOM CA";"";"Tel: (58) (212) 9458096";"Av. San Rafael La Trinidad Caracas, Venezuela";"Comunicaciones Empresariales"
"NOKIA";"";"Tel: (58) (212) 2804411";"Av Ppal Los Ruices Caracas, Venezuela";"Comunicaciones Empresariales"
"OLTP VOICE SYSTEMS CA";"";"Tel: (58) (212) 9504400";"Av La Estancia, Chuao Caracas, Venezuela";"Comunicaciones Empresariales"
"MI PCQUEST CA";"";"Tel: (58) (212) 2372653";"Av. Fco de Miranda -Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"CORPORACIÓN SATÉLITE STAR, C.A.";"";"Tel: (58) (243) 5530065";"Av Miranda No. 303 Maracay, Venezuela";"Comunicaciones Empresariales"
"STARBRIDGE INTERACTIVE GROUP CA";"";"Tel: (58) (212) 2637731";"Av. ppal de la Castellana c/c José A. Lamas, Torre La Castellana, Piso 5, Ofic. 5E La Castellana Caracas, Venezuela";"Comunicaciones Empresariales"
"SERVICIOS TÉCNICOS RR CA";"";"Tel: (58) (212) 5633612";"Manduca a Romualda, Edif. Fuente Deumes, oficina 1-B Caracas, Venezuela";"Comunicaciones Empresariales"
"TELECOMUNICACIONES LINKLINE SA";"";"Tel: (58) (212) 2641184";"Av. Fco. de Miranda, Chacao Caracas, Venezuela";"Comunicaciones Empresariales"
"PROYTEL, C.A";"";"Tel: (58) (212) 2611186";"Multicentro Empresarial Del Este, Edif. Libertador, Local PI-10, Urb, Cha cao Caracas, Venezuela";"Comunicaciones Empresariales"
"TECNOLOGIA TGK, C.A.";"";"Tel: (58) (212) 7515376";"Av ppal de Colinas de Bello Monte, Edf. Lepanto, piso 2 of. 30 Caracas, Venezuela";"Comunicaciones Empresariales"
"EMERSON VENEZUELA, C.A.";"";"Tel: (58) (212) 2030711";"Av Don Diego Cisneros Edif 48 Los Ruices Caracas Venezuela Caracas, Venezuela";"Comunicaciones Empresariales"
"PANASERVI TELECOMUNICACIONES";"";"Tel: (58) (212) 9520828";"Bello Monte Caracas, Venezuela";"Comunicaciones Empresariales"
"SATEL DE VENEZUELA, C.A.";"";"Tel: (58) (212) 9599652";"Av La Estancia, Chuao Caracas, Venezuela";"Comunicaciones Empresariales"
"PANASONIC";"";"Tel: (58) (212) 2836327";"Caracas Caracas, Venezuela";"Comunicaciones Empresariales"
"PROYECTOS INGESERV, C.A.";"";"Tel: (58) (212) 2382015";"Av.1³ Montecristo Caracas, Venezuela";"Comunicaciones Empresariales"
"NGI SOLUTIONS, C.A.";"";"Tel: (58) (261) 7921072";"Maracaibo Maracaibo, Venezuela";"Comunicaciones Empresariales"
"NORTEL NETWORK DE VENEZUELA C.A.";"";"Tel: (58) (212) 9520208";"Av Blandin, La Castellana Caracas, Venezuela";"Comunicaciones Empresariales"
"PREMEZCLADOS AGRECONSA";"";"Tel: (58) (243) 3562710";"Zona Industrial De Paramillo.Av.3a. Con Calle E Maracay, Venezuela";"Concreto Premezclado"
"PREMEZCLADO QUINIMARI C.A.";"";"Tel: (58) (243) 3563893";"Zona Industrial De Paramillo.Av.4 Minicentro Paramillo, Local 2 Maracay, Venezuela";"Concreto Premezclado"
"SEGURITEX C.A.";"";"Tel: (58) (212) 6310424";"Av.Bogotá, Galpones K2-K4, entre Cl.El Carmen Av.Roosevelt. Los Castaños Caracas, Venezuela";"Confecciones Para Instituciones"
"CENTAUROS CUEROS";"";"Tel: (58) (276) 7713722";"Av Venezuela, San Antonio De Táchira San Antonio del Táchira, Venezuela";"Confecciones Para Instituciones"
"D' ALFE TEXTIL C.A";"";"Tel: (58) (212) 8715875";"Urbanizacion Ind Castillito, Cerca Del Big Low -Av 71 eNTRE cL 102/103, p arcela EM24 Caracas, Venezuela";"Confecciones Para Instituciones"
"INVERSIONES SER-WI, C.A.";"";"Tel: (58) (212) 4439846";"Av. Rotaria, El Paraíso Caracas, Venezuela";"Confecciones Para Instituciones"
"AZAREEL ANGARITA";"";"Tel: (58) (255) 6142144";"Av. 30 CC La Galeria Acarigua, Venezuela";"Confecciones Para Instituciones"
"CREACIONES EUROBRAGA, C.A.";"";"Tel: (58) (212) 7823546";"Av. Andrés Bello, Edif. San Antonio, P.B., Maripérez Caracas, Venezuela";"Confecciones Para Instituciones"
"CPA OUTSOURCING S.A.";"";"Tel: (58) (212) 2646010";"Bello Campo Caracas, Venezuela";"Consultores Administrativos"
"ANA PEREZ LEON & ASOCIADOS CONSULTORES GERENCIALES C.A.";"";"Telefax: (58) (291) 6426857";"Centro Maturín, Venezuela";"Consultores Administrativos"
"ALMAR-INATLAN CONTAINERS DE VENEZUELA C.A.";"";"Tel: (58) (212) 9926347";"Las Mercedes Caracas, Venezuela";"Contenedores"
"MEDITERRANEAN SHIPPING COMPANY DE VENEZUELA C.A.";"";"Tel: (58) (212) 7616261";"Av Venezuela, Bello Monte Caracas, Venezuela";"Contenedores"
"CORONA";"";"Tel: (58) (261) 6325902";"Diagonal De N Y G. Tomasi, Ciudad Bolivar Maracaibo, Venezuela";"Coronas"
"LA CORONA S.R.L";"";"Tel: (58) (212) 8600252";"San José Caracas, Venezuela";"Coronas"
"HOTEL CORONA,S.R.L.";"";"Tel: (58) (251) 2327543";"Cl. 30, E/Cl 23 y 24 Barquisimeto, Venezuela";"Coronas"
"DIESEL INYECCIÓN CORONA";"";"Tel: (58) (251) 2667717";"Frente al Mercado Las Pulgas Av Florencio Gimenez Barquisimeto, Venezuela";"Coronas"
"CONFECCIONES CORONA, S.R.L.";"";"Telefax: (58) (212) 5753445";"La Candelaria Caracas, Venezuela";"Coronas"
"FABRICA DE PLASTICO CORONA, C.A.";"";"Tel: (58) (212) 5322182";"Ct.Petare-Sta.Lucia Caracas, Venezuela";"Coronas"
"LABORATORIO CLÍNICO CORONA";"";"Telefax: (58) (212) 4512790";"Edif. Posada Del Peregrino, Urb. Artigas Detrás Del Hospital Militar Caracas, Venezuela";"Coronas"
"HUNTER DOUGLAS";"";"Tel: (58) (212) 2581004";"Adp Decoraciones, C.A. Caracas, Venezuela";"Cortinas Y Persianas"
"COMPLEJO LICORERO PONCHE CREMA";"";"Tel: (58) (212) 9932363";"Cl Madrid Las Mercedes Caracas, Venezuela";"Crema"
"UNIDAD DE EDUCACIÓN NACIONAL EDUARDO CREMA";"";"Tel: (58) (212) 4818791";"El Paraíso Caracas, Venezuela";"Crema"
"QUINTAL";"quintal@telcel.net.ve";"Telefax: (58) (241) 8388670";"Urbanizacion Industrial Carabobo, Transversal  Octava  Avenida Sur 1, Centro Comercial Dibeca,  Galpón No.6 Valencia, Venezuela";"Crisoles"
"CRISOLES Y AISLADORES, C.A. CRISAICA";"";"Tel: (58) (243) 5516389";"Galpon 36, Maracay, Venezuela";"Crisoles"
"LA CASSEROLE DU CHEF, C.A.";"";"Tel: (58) (212) 7819751";"Av. Principal De Maripérez Caracas, Venezuela";"Cursos De Manipulación De Alimentos"
"HIGH TRAINING EDUCATION INSTITUTE HTEI";"";"Tel: (58) (212) 6901195";"Cl. Pedro Emilio Coll, Qta. Astrea Santa Mónica - Caracas Caracas, Venezuela";"Cursos De Manipulación De Alimentos"
"ACADEMIA DE ARTES CULINARIAS DE CARACAS";"";"Tel: (58) (212) 7512226";"Cnas De Bello Monte - Caracas Caracas, Venezuela";"Cursos De Manipulación De Alimentos"
"UNIDAD DE DIAGNOSTICO OSEO COMPUTARIZADO, C. A.";"";"Tel: (58) (243) 2327384";"Calicanto Maracay, Venezuela";"Densitometría Ósea"
"TORRES, ALIRIO DR.";"";"Tel: (58) (261) 7003102";"Centro Clinico Sagrada Familia Maracaibo, Venezuela";"Dermatología"
"GUADAGNINI, ELIZABETH DRA.";"";"Tel: (58) (261) 7927307";"Policlinica Amado Maracaibo, Venezuela";"Dermatología"
"DISTRIBUIDORA HPC C.A";"";"Tel: (58) (212) 2861248";"10ma Transv Los Dos Caminos Caracas, Venezuela";"Dermatología"
"OFICINA TÉCNICA LEO C.A.";"";"Tel: (58) (212) 9797022";"Av. Río Caura, Prados Del Este Caracas, Venezuela";"Detectores De Humo"
"INSTITUTO PSICOPEDAGÓGICO ESCUELA DIFERENCIAL";"";"Tel: (58) (212) 9781148";"Cumbres De Curumo Caracas, Venezuela";"Diferenciales"
"DISCOTIENDA COCO MUSIC, C.A.";"";"Tel: (58) (251) 2543121";"C.C. Los Leones,Local 17 Barquisimeto, Venezuela";"Discos"
"DISTRIBUIDORA DRIVIERCA,C.A.";"";"Tel: (58) (251) 2513133";"Cl 6 E/cr19-20 Barquisimeto, Venezuela";"Discos"
"LA ROUSSE";"";"Tel: (58) (251) 2398056";"Av Ppal,de Los Ruices,Edif.Stemo,Mezz B Barquisimeto, Venezuela";"Discos"
"DISCOLANDIA MÚSICA";"";"Tel: (58) (276) 3569133";"Edificio Tama, Local 2 Calle 11, Barrio Obrero, San Cristóbal San Cristóbal, Venezuela";"Discos"
"OLY-COPIA C.A.";"";"Tel: (58) (212) 2323444";"3ra, Los Ruices Caracas, Venezuela";"Discos"
"IMAGO";"";"Tel: (58) (212) 2375333";"Av. Ppal. de Los Ruices, Centro Empresarial Los Ruices Piso 5 Of. 516 Car acas Caracas, Venezuela";"Diseño"
"TIPOGRAFIA SAM MIGUEL";"";"Tel: (58) (276) 3431265";"Cl 13 E/Cr 15 y 16 N. 15-38 Barrio Obrero San Cristóbal, Venezuela";"Diseño"
"SIN LIMITE PUBLICIDAD 33,C.A.";"";"Tel: (58) (243) 4327985";"Av.Henry Ford C.C Paseo Las industrias,PB,Local 71 Maracay, Venezuela";"Diseño"
"SBERCTI - CONCEPTO TOTAL DE IMAGEN";"";"Tel: (58) (212) 4717767";"Av. Ppal. de la Yaguara, Edif. Sarumar, Mezzanina, Caracas Caracas, Venezuela";"Diseño"
"ATARRAYA-BURO CREATIVO";"";"Tel: (58) (261) 7525890";"Av. 17 Baralt, Maracaibo Maracaibo, Venezuela";"Diseño"
"ISACARO GRUPO CREATIVO, S.A.";"";"Tel: (58) (212) 9375156";"Av. Ppal. Cafetal, El Cafetal, Caracas Caracas, Venezuela";"Diseño"
"PUBLI GRES, C.A.";"";"Tel: (58) (261) 7833721";"Calle 79, Entre Av. 16 y 17 Nro.16-49 Las Delicias Maracaibo, Venezuela";"Diseño"
"NMC PUBLIC";"";"Tel: (58) (243) 2634552";"calle Diegp de Tovar No 52-1,Mariana-Edo.Carabobo Maracay, Venezuela";"Diseño"
"PONY UNIFORMES C.A.";"";"Tel: (58) (212) 4811249";"Esq. Miracielos, Santa Teresa Caracas, Venezuela";"Diseño"
"INVERSIONES PRODUSER C.A";"";"Tel: (58) (212) 9753518";"Cll. Río Caura Tzas Del Club Hípico Caracas, Venezuela";"Diseño"
"LITIDUEÑEZ";"";"Tel: (58) (276) 3419940";"Barrio Obrero San Cristóbal, Venezuela";"Diseño"
"VANESSA MATENS";"";"Tel: (58) (286) 9728037";"La Floresta Ciudad Guayana Puerto Ordaz, Venezuela";"Diseño"
"SERVIGRAF GUAYANA, C.A.";"";"Tel: (58) (286) 9619311";"Avenida Paseo Caroni, C.C. Naraya Mezz. Local Nro.82, Alta Vista Ciudad Guayana Puerto Ordaz, Venezuela";"Diseño"
"ARTEK";"";"Telefax: (58) (212) 2350078";"Caracas Caracas, Venezuela";"Diseño"
"KIMYOPLAS, C.A.";"";"Tel: (58) (212) 2392890";"Caracas Caracas, Venezuela";"Diseño"
"ORIGEN CORP PUBLICIDAD, C.A.";"";"Tel: (58) (212) 2388696";"Los Cortijos de Londres Caracas, Venezuela";"Diseño"
"TUQUEQUE S ON LINE.COM";"";"Tel: (58) (241) 8222513";"Valencia Valencia, Venezuela";"Diseño"
"S'BAS PUBLICIDAD C.A.";"";"Tel: (58) (212) 2423053";"1a Urbina Caracas, Venezuela";"Diseño"
"CENTRO GRÁFICO LOS ROBLES";"";"Tel: (58) (295) 2672557";"Est.Serv. Los Robles Bp, Redoma Los Robles Pampatar, Venezuela";"Diseño"
"CENTRO DE COPIADO INTEGRAL";"";"Tel: (58) (212) 5775232";"Parque Central Edif Anauco Nivel Lecuna L 40 Y 56 Caracas, Venezuela";"Diseño"
"VIC-BETH INVERSIONES Y SUMINISTROS";"";"Tel: (58) (243) 8586616";"Av. martin Tovar.C.C.Martin Tovar-Loc.3 Valencia-Carabobo Maracay, Venezuela";"Diseño"
"FULL EXTREME PUBLICIDAD, C.A.";"";"Tel: (58) (212) 7159237";"Quinta Crespo Caracas, Venezuela";"Diseño"
